T_e,Volume,E_F,N_Ef,gamma,C_e,v_F,tau_e,k_e,k_lat,lambda,Log10_Ge,Composition
30000,85.26,22.211,1.752,0.542,1109.221317,1.828,0.299,0.18683,0.008959,0.4058,-77.550715,Fe-0.0_Xx3-1.0
100,69.34,21.948,1.696,0.508,5.226489,1.318,39.363,0.032099,2.802267,0.9265,-5.890273,Fe-0.15_Xx3-0.85
200,69.38,21.948,1.696,0.532,10.447303,1.393,25.312,0.057826,1.325893,0.7204,-9.694632,Fe-0.15_Xx3-0.85
300,69.43,21.949,1.696,0.538,15.660156,1.384,19.012,0.070704,0.872738,0.6394,-13.433612,Fe-0.15_Xx3-0.85
400,69.48,21.949,1.696,0.54,20.865004,1.426,15.262,0.084597,0.651157,0.5974,-17.148967,Fe-0.15_Xx3-0.85
500,69.53,21.949,1.695,0.541,26.061967,1.433,12.729,0.091802,0.519661,0.573,-20.852242,Fe-0.15_Xx3-0.85
600,69.58,21.95,1.695,0.542,31.251177,1.445,10.899,0.097741,0.43271,0.5577,-24.548635,Fe-0.15_Xx3-0.85
700,69.63,21.95,1.695,0.542,36.432721,1.454,9.517,0.102033,0.371064,0.5474,-28.240922,Fe-0.15_Xx3-0.85
800,69.69,21.95,1.695,0.541,41.606662,1.463,8.44,0.105649,0.325177,0.5401,-31.930598,Fe-0.15_Xx3-0.85
900,69.74,21.95,1.695,0.54,46.773066,1.468,7.577,0.108007,0.289795,0.5348,-35.618533,Fe-0.15_Xx3-0.85
1000,69.79,21.951,1.695,0.539,51.932021,1.477,6.87,0.110756,0.261751,0.5308,-39.305426,Fe-0.15_Xx3-0.85
3000,70.84,21.954,1.693,0.539,153.399556,1.912,2.385,0.195716,0.087684,0.5096,-42.9443,Fe-0.15_Xx3-0.85
6000,72.41,21.953,1.693,0.539,300.713833,1.756,1.168,0.156176,0.044163,0.5203,-46.663661,Fe-0.15_Xx3-0.85
9000,73.97,21.943,1.699,0.539,445.20173,1.78,0.791,0.162751,0.029653,0.5118,-50.45852,Fe-0.15_Xx3-0.85
12000,75.54,21.942,1.699,0.539,587.657756,1.867,0.61,0.185718,0.022396,0.4977,-54.28187,Fe-0.15_Xx3-0.85
15000,77.11,21.958,1.69,0.539,725.376061,1.974,0.502,0.214441,0.01804,0.4844,-58.118648,Fe-0.15_Xx3-0.85
18000,78.68,21.988,1.673,0.539,851.511638,2.076,0.43,0.243491,0.015134,0.4704,-61.966819,Fe-0.15_Xx3-0.85
21000,80.24,22.029,1.652,0.539,957.711231,2.171,0.381,0.270434,0.013058,0.4555,-65.827064,Fe-0.15_Xx3-0.85
24000,81.81,22.079,1.641,0.539,1037.829747,1.622,0.345,0.15136,0.0115,0.44,-69.70268,Fe-0.15_Xx3-0.85
27000,83.38,22.136,1.65,0.539,1089.626127,1.888,0.318,0.202845,0.010287,0.4243,-73.596271,Fe-0.15_Xx3-0.85
30000,84.95,22.199,1.684,0.539,1114.387261,2.007,0.297,0.22394,0.009316,0.4085,-77.509358,Fe-0.15_Xx3-0.85
100,69.36,21.947,1.701,0.508,5.226304,1.431,45.702,0.050414,2.77522,0.798,-5.965373,Fe-0.1_Xx3-0.9
200,69.39,21.948,1.7,0.532,10.446397,1.423,27.454,0.069871,1.314568,0.6642,-9.726686,Fe-0.1_Xx3-0.9
300,69.44,21.949,1.7,0.538,15.658481,1.401,19.712,0.077312,0.864616,0.6167,-13.445556,Fe-0.1_Xx3-0.9
400,69.49,21.95,1.699,0.541,20.862536,1.426,15.625,0.088065,0.644425,0.5835,-17.15648,Fe-0.1_Xx3-0.9
500,69.55,21.95,1.699,0.542,26.058634,1.445,12.914,0.09568,0.513746,0.5648,-20.857036,Fe-0.1_Xx3-0.9
600,69.6,21.95,1.699,0.543,31.246867,1.438,10.991,0.098117,0.42734,0.553,-24.551598,Fe-0.1_Xx3-0.9
700,69.65,21.951,1.699,0.543,36.427292,1.459,9.58,0.103966,0.366118,0.5438,-28.243426,Fe-0.1_Xx3-0.9
800,69.71,21.951,1.699,0.543,41.599946,1.476,8.499,0.108743,0.32058,0.5364,-31.933392,Fe-0.1_Xx3-0.9
900,69.76,21.951,1.698,0.542,46.764889,1.47,7.637,0.10976,0.285492,0.5306,-35.621873,Fe-0.1_Xx3-0.9
1000,69.81,21.951,1.698,0.541,51.922208,1.486,6.929,0.11372,0.257663,0.5263,-39.309124,Fe-0.1_Xx3-0.9
3000,70.87,21.955,1.696,0.541,153.331503,1.888,2.405,0.193231,0.08632,0.5055,-42.946994,Fe-0.1_Xx3-0.9
6000,72.46,21.953,1.697,0.541,300.533617,1.748,1.172,0.155544,0.04348,0.5184,-46.667357,Fe-0.1_Xx3-0.9
9000,74.05,21.942,1.703,0.541,444.885379,1.777,0.793,0.162741,0.029197,0.5106,-50.463698,Fe-0.1_Xx3-0.9
12000,75.64,21.943,1.703,0.541,587.163649,1.866,0.612,0.18611,0.022054,0.4966,-54.288538,Fe-0.1_Xx3-0.9
15000,77.23,21.959,1.694,0.541,724.639022,1.973,0.503,0.214787,0.017766,0.4834,-58.126608,Fe-0.1_Xx3-0.9
18000,78.82,21.99,1.676,0.541,850.431186,2.077,0.431,0.244261,0.014906,0.4695,-61.976218,Fe-0.1_Xx3-0.9
21000,80.41,22.032,1.656,0.541,956.16863,2.171,0.382,0.270818,0.012862,0.4546,-65.838692,Fe-0.1_Xx3-0.9
24000,82.0,22.083,1.649,0.541,1035.722799,1.617,0.345,0.150614,0.011328,0.4392,-69.717222,Fe-0.1_Xx3-0.9
27000,83.59,22.141,1.662,0.541,1086.896951,1.883,0.318,0.201896,0.010134,0.4235,-73.61409,Fe-0.1_Xx3-0.9
30000,85.18,22.204,1.703,0.541,1111.032284,1.994,0.298,0.221205,0.009178,0.4077,-77.531375,Fe-0.1_Xx3-0.9
100,71.22,21.123,2.449,2.238,3.963946,1.607,9.209,0.001277,0.081346,3.9602,-5.869553,Fe
200,71.35,21.124,2.453,2.229,7.914026,1.545,3.571,0.000603,0.041037,5.1064,-9.327552,Fe
300,71.5,21.124,2.454,2.182,11.846171,1.544,2.341,0.000574,0.028666,5.1937,-12.975738,Fe
400,71.66,21.124,2.456,2.14,15.760885,1.553,1.798,0.000618,0.022441,5.0699,-16.663971,Fe
500,71.83,21.125,2.457,2.105,19.658947,1.548,1.484,0.000667,0.018633,4.9139,-20.36797,Fe
600,71.99,21.125,2.458,2.074,23.541156,1.544,1.28,0.000724,0.01604,4.7495,-24.082804,Fe
700,72.16,21.125,2.459,2.047,27.408212,1.55,1.133,0.000793,0.014159,4.5977,-27.802597,Fe
800,72.33,21.126,2.46,2.022,31.260694,1.554,1.02,0.000857,0.012741,4.4707,-31.523157,Fe
900,72.49,21.126,2.46,2.0,35.099085,1.549,0.927,0.000902,0.011609,4.3717,-35.24231,Fe
1000,72.66,21.126,2.461,1.98,38.923808,1.557,0.848,0.00095,0.010684,4.2998,-38.959043,Fe
3000,76.01,21.116,2.418,1.98,113.016192,2.257,0.262,0.001578,0.003615,4.6429,-42.285631,Fe
6000,81.03,21.103,2.348,1.98,216.075645,2.338,0.13,0.00158,0.001847,4.6846,-45.905339,Fe
9000,86.05,21.092,2.285,1.98,309.647283,2.416,0.095,0.002054,0.001256,4.2739,-49.787938,Fe
12000,91.07,21.083,2.228,1.98,395.127355,2.507,0.079,0.002827,0.00096,3.8241,-53.782421,Fe
15000,96.1,21.081,2.214,1.98,471.438491,2.606,0.07,0.003691,0.000782,3.4881,-57.835695,Fe
18000,101.12,21.09,2.273,1.98,534.698628,2.699,0.062,0.004445,0.000663,3.2608,-61.930845,Fe
21000,106.14,21.111,2.395,1.98,581.057638,2.801,0.056,0.005089,0.000577,3.0939,-66.064395,Fe
24000,111.16,21.143,2.517,1.98,608.929908,1.624,0.051,0.001761,0.000513,2.9536,-70.227564,Fe
27000,116.18,21.184,2.521,1.98,619.246077,1.86,0.048,0.002336,0.000463,2.8243,-74.402337,Fe
30000,121.21,21.232,2.296,1.98,614.59491,2.093,0.045,0.00295,0.000422,2.7007,-78.568689,Fe
100,70.0,21.843,1.767,0.683,5.146281,1.788,16.22,0.008428,1.574168,2.2485,-5.593935,Ni-0.05_Xx3-0.95
200,70.05,21.844,1.767,0.691,10.284981,1.828,11.945,0.021433,0.771396,1.5266,-9.456258,Ni-0.05_Xx3-0.95
300,70.11,21.844,1.767,0.695,15.414284,1.838,8.821,0.027061,0.50877,1.3781,-13.193399,Ni-0.05_Xx3-0.95
400,70.18,21.844,1.767,0.699,20.534017,1.871,6.988,0.031507,0.378538,1.3047,-16.910754,Ni-0.05_Xx3-0.95
500,70.24,21.844,1.767,0.701,25.644108,1.867,5.903,0.035211,0.301145,1.2356,-20.629009,Ni-0.05_Xx3-0.95
600,70.31,21.844,1.766,0.702,30.744647,1.829,5.164,0.037352,0.250173,1.1771,-24.345655,Ni-0.05_Xx3-0.95
700,70.38,21.844,1.766,0.703,35.835834,1.813,4.598,0.0397,0.214344,1.133,-28.058749,Ni-0.05_Xx3-0.95
800,70.44,21.845,1.766,0.702,40.917933,1.817,4.143,0.042306,0.187989,1.1002,-31.768932,Ni-0.05_Xx3-0.95
900,70.51,21.845,1.766,0.7,45.991281,1.822,3.77,0.044578,0.168007,1.0748,-35.477391,Ni-0.05_Xx3-0.95
1000,70.58,21.846,1.765,0.697,51.056284,1.813,3.46,0.045884,0.152334,1.0541,-39.185012,Ni-0.05_Xx3-0.95
3000,71.86,21.855,1.759,0.697,150.39952,2.128,1.35,0.084774,0.051085,0.9007,-42.977943,Ni-0.05_Xx3-0.95
6000,73.8,21.86,1.754,0.697,293.008929,2.051,0.744,0.092536,0.025769,0.8173,-46.732273,Ni-0.05_Xx3-0.95
9000,75.73,21.855,1.759,0.697,430.426844,1.929,0.528,0.090333,0.017328,0.7671,-50.537699,Ni-0.05_Xx3-0.95
12000,77.66,21.85,1.762,0.697,563.896831,1.922,0.412,0.094713,0.013106,0.7375,-54.373954,Ni-0.05_Xx3-0.95
15000,79.59,21.855,1.759,0.697,691.72375,1.981,0.341,0.10532,0.010571,0.7121,-58.231979,Ni-0.05_Xx3-0.95
18000,81.53,21.869,1.747,0.697,808.685212,2.058,0.295,0.118535,0.00888,0.686,-62.108238,Ni-0.05_Xx3-0.95
21000,83.46,21.893,1.726,0.697,908.031861,2.137,0.263,0.132187,0.007671,0.6593,-66.000263,Ni-0.05_Xx3-0.95
24000,85.39,21.925,1.694,0.697,984.526462,1.724,0.24,0.087831,0.006764,0.6325,-69.906538,Ni-0.05_Xx3-0.95
27000,87.32,21.963,1.654,0.697,1035.988445,1.975,0.223,0.116129,0.006057,0.6062,-73.826834,Ni-0.05_Xx3-0.95
30000,89.26,22.006,1.615,0.697,1063.152412,2.175,0.209,0.140374,0.005491,0.5804,-77.763958,Ni-0.05_Xx3-0.95
100,70.31,21.767,1.793,0.789,5.111915,2.259,17.954,0.016995,1.092123,2.0313,-5.715853,Ni-0.0_Xx3-1.0
200,70.37,21.767,1.793,0.775,10.215553,2.366,11.186,0.030817,0.565002,1.6301,-9.50877,Ni-0.0_Xx3-1.0
300,70.44,21.767,1.793,0.768,15.308729,2.344,8.222,0.037537,0.382971,1.4785,-13.249634,Ni-0.0_Xx3-1.0
400,70.51,21.767,1.793,0.763,20.391497,2.35,6.371,0.040448,0.290914,1.4311,-16.961105,Ni-0.0_Xx3-1.0
500,70.58,21.767,1.793,0.757,25.464248,2.35,5.168,0.04166,0.235748,1.4113,-20.664283,Ni-0.0_Xx3-1.0
600,70.65,21.767,1.793,0.752,30.527482,2.339,4.354,0.042205,0.199374,1.3961,-24.367297,Ni-0.0_Xx3-1.0
700,70.72,21.767,1.793,0.745,35.581773,2.343,3.776,0.043419,0.173878,1.3796,-28.072353,Ni-0.0_Xx3-1.0
800,70.78,21.767,1.792,0.736,40.62778,2.341,3.348,0.044534,0.155299,1.3617,-31.779425,Ni-0.0_Xx3-1.0
900,70.85,21.768,1.792,0.727,45.666227,2.351,3.016,0.046192,0.141299,1.3435,-35.487991,Ni-0.0_Xx3-1.0
1000,70.91,21.768,1.792,0.717,50.697864,2.343,2.751,0.047212,0.130405,1.3255,-39.197709,Ni-0.0_Xx3-1.0
3000,72.1,21.774,1.788,0.717,149.534367,1.96,1.084,0.04616,0.043711,1.1211,-43.0155,Ni-0.0_Xx3-1.0
6000,73.9,21.777,1.786,0.717,291.912322,1.983,0.607,0.0579,0.022035,1.0018,-46.777567,Ni-0.0_Xx3-1.0
9000,75.69,21.772,1.789,0.717,429.388447,1.944,0.434,0.062642,0.014808,0.9345,-50.580789,Ni-0.0_Xx3-1.0
12000,77.48,21.768,1.792,0.717,563.132334,1.86,0.339,0.061233,0.011193,0.8963,-54.413284,Ni-0.0_Xx3-1.0
15000,79.28,21.772,1.789,0.717,691.560223,1.812,0.281,0.061229,0.009023,0.8642,-58.267264,Ni-0.0_Xx3-1.0
18000,81.07,21.784,1.781,0.717,809.599253,1.788,0.244,0.062642,0.007575,0.8314,-62.139321,Ni-0.0_Xx3-1.0
21000,82.86,21.805,1.767,0.717,910.594791,1.778,0.217,0.06454,0.006541,0.798,-66.02729,Ni-0.0_Xx3-1.0
24000,84.66,21.833,1.749,0.717,989.276065,2.301,0.199,0.111331,0.005764,0.7647,-69.930226,Ni-0.0_Xx3-1.0
27000,86.45,21.868,1.726,0.717,1043.309966,2.036,0.184,0.088589,0.00516,0.732,-73.84727,Ni-0.0_Xx3-1.0
30000,88.24,21.907,1.692,0.717,1073.216988,1.906,0.173,0.077974,0.004676,0.7001,-77.776939,Ni-0.0_Xx3-1.0
100,69.58,21.957,1.668,0.642,5.187862,1.351,41.312,0.036774,1.778838,0.8828,-5.835955,Ni-0.15_Xx3-0.85
200,69.63,21.956,1.668,0.661,10.369146,1.313,26.466,0.055246,0.848897,0.689,-9.635876,Ni-0.15_Xx3-0.85
300,69.69,21.956,1.668,0.665,15.541751,1.327,19.444,0.067128,0.560644,0.6252,-13.379194,Ni-0.15_Xx3-0.85
400,69.75,21.955,1.669,0.665,20.705706,1.342,15.357,0.075162,0.42023,0.5937,-17.097763,Ni-0.15_Xx3-0.85
500,69.81,21.954,1.669,0.663,25.861213,1.336,12.558,0.077349,0.337769,0.5808,-20.799734,Ni-0.15_Xx3-0.85
600,69.87,21.954,1.67,0.66,31.008623,1.345,10.608,0.080217,0.284054,0.573,-24.496226,Ni-0.15_Xx3-0.85
700,69.93,21.953,1.67,0.654,36.148435,1.349,9.205,0.082284,0.246713,0.566,-28.191572,Ni-0.15_Xx3-0.85
800,69.99,21.953,1.67,0.648,41.281243,1.357,8.142,0.084808,0.219548,0.5599,-31.886273,Ni-0.15_Xx3-0.85
900,70.05,21.953,1.67,0.64,46.407683,1.371,7.296,0.087714,0.199103,0.5554,-35.580032,Ni-0.15_Xx3-0.85
1000,70.1,21.953,1.67,0.631,51.52838,1.38,6.598,0.089588,0.183129,0.5527,-39.272775,Ni-0.15_Xx3-0.85
3000,71.15,21.957,1.667,0.631,152.306388,2.123,2.127,0.19717,0.061347,0.5714,-42.928899,Ni-0.15_Xx3-0.85
6000,72.73,21.964,1.664,0.631,298.194936,1.904,1.114,0.168097,0.030898,0.5454,-46.659773,Ni-0.15_Xx3-0.85
9000,74.31,21.956,1.668,0.631,440.576499,1.83,0.773,0.163744,0.020747,0.524,-50.454278,Ni-0.15_Xx3-0.85
12000,75.88,21.951,1.671,0.631,580.495941,1.879,0.597,0.179202,0.015669,0.5088,-54.277174,Ni-0.15_Xx3-0.85
15000,77.46,21.959,1.666,0.631,715.721779,1.974,0.491,0.203937,0.012622,0.4953,-58.116068,Ni-0.15_Xx3-0.85
18000,79.04,21.98,1.655,0.631,840.190599,2.066,0.421,0.229712,0.010589,0.4806,-61.968878,Ni-0.15_Xx3-0.85
21000,80.61,22.011,1.644,0.631,946.243503,2.153,0.373,0.254401,0.009136,0.4648,-65.835329,Ni-0.15_Xx3-0.85
24000,82.19,22.05,1.631,0.631,1027.990645,1.618,0.338,0.144696,0.008046,0.4483,-69.714677,Ni-0.15_Xx3-0.85
27000,83.76,22.097,1.609,0.631,1082.984731,1.943,0.312,0.207843,0.007197,0.4315,-73.604969,Ni-0.15_Xx3-0.85
30000,85.34,22.148,1.582,0.631,1112.023007,2.133,0.292,0.246482,0.006518,0.4147,-77.50694,Ni-0.15_Xx3-0.85
100,69.77,21.907,1.716,0.668,5.169396,1.687,16.222,0.007537,1.627809,2.2482,-5.536473,Ni-0.1_Xx3-0.9
200,69.82,21.907,1.717,0.684,10.33174,1.585,16.432,0.031947,0.78359,1.1097,-9.536341,Ni-0.1_Xx3-0.9
300,69.88,21.907,1.717,0.687,15.484992,1.56,14.168,0.05155,0.51862,0.858,-13.338059,Ni-0.1_Xx3-0.9
400,69.95,21.907,1.717,0.687,20.629039,1.581,11.976,0.066365,0.389103,0.7613,-17.080145,Ni-0.1_Xx3-0.9
500,70.01,21.907,1.717,0.685,25.764002,1.563,10.052,0.070781,0.312922,0.7256,-20.791327,Ni-0.1_Xx3-0.9
600,70.07,21.907,1.716,0.681,30.890273,1.572,8.506,0.073641,0.263271,0.7146,-24.488869,Ni-0.1_Xx3-0.9
700,70.13,21.908,1.716,0.676,36.008438,1.579,7.297,0.074348,0.228717,0.714,-28.180865,Ni-0.1_Xx3-0.9
800,70.19,21.908,1.715,0.669,41.119163,1.585,6.352,0.074086,0.203571,0.7177,-31.871031,Ni-0.1_Xx3-0.9
900,70.25,21.909,1.715,0.661,46.223138,1.568,5.605,0.071571,0.18469,0.7229,-35.561116,Ni-0.1_Xx3-0.9
1000,70.31,21.909,1.714,0.652,51.321028,1.566,5.009,0.070401,0.169889,0.728,-39.252079,Ni-0.1_Xx3-0.9
3000,71.39,21.917,1.705,0.652,151.615022,2.126,1.671,0.127936,0.056919,0.7274,-42.949031,Ni-0.1_Xx3-0.9
6000,73.02,21.924,1.698,0.652,296.5837,1.994,0.9,0.126062,0.028674,0.6754,-46.687814,Ni-0.1_Xx3-0.9
9000,74.65,21.918,1.705,0.652,437.614678,1.873,0.633,0.120499,0.019257,0.6399,-50.484805,Ni-0.1_Xx3-0.9
12000,76.27,21.913,1.71,0.652,575.824799,1.897,0.492,0.129823,0.014547,0.6177,-54.309886,Ni-0.1_Xx3-0.9
15000,77.9,21.919,1.704,0.652,709.197181,1.973,0.406,0.146222,0.01172,0.5985,-58.151446,Ni-0.1_Xx3-0.9
18000,79.53,21.936,1.685,0.652,832.005144,2.061,0.35,0.165583,0.009834,0.5784,-62.006507,Ni-0.1_Xx3-0.9
21000,81.16,21.964,1.659,0.652,936.917878,2.145,0.311,0.18451,0.008486,0.5573,-65.874498,Ni-0.1_Xx3-0.9
24000,82.79,21.999,1.634,0.652,1018.223063,1.65,0.283,0.110921,0.007475,0.536,-69.756629,Ni-0.1_Xx3-0.9
27000,84.41,22.041,1.617,0.652,1073.470585,1.958,0.262,0.156737,0.006688,0.5147,-73.654744,Ni-0.1_Xx3-0.9
30000,86.04,22.088,1.603,0.652,1103.325624,2.165,0.246,0.189818,0.006057,0.4937,-77.567386,Ni-0.1_Xx3-0.9
100,73.53,19.803,3.604,0.55,4.437578,1.021,95.546,0.077239,0.602289,0.3817,-6.104402,Ni
200,73.59,19.804,3.598,0.567,8.868333,1.009,59.013,0.103606,0.289623,0.309,-9.948056,Ni
300,73.66,19.805,3.589,0.571,13.290641,0.993,41.419,0.108088,0.191282,0.2935,-13.723825,Ni
400,73.74,19.806,3.581,0.571,17.705258,0.993,31.935,0.112382,0.143319,0.2855,-17.491625,Ni
500,73.82,19.806,3.573,0.57,22.113077,0.999,26.209,0.117926,0.115192,0.2783,-21.259987,Ni
600,73.89,19.807,3.563,0.566,26.515101,1.004,22.454,0.123927,0.096922,0.2707,-25.030438,Ni
700,73.97,19.808,3.552,0.56,30.912474,1.021,19.802,0.133282,0.084246,0.2631,-28.801956,Ni
800,74.04,19.81,3.541,0.553,35.306423,1.029,17.821,0.140908,0.075044,0.2558,-32.573673,Ni
900,74.11,19.811,3.528,0.544,39.698192,1.032,16.287,0.147239,0.068143,0.2488,-36.345287,Ni
1000,74.17,19.812,3.515,0.534,44.088979,1.028,15.039,0.151162,0.062733,0.2425,-40.11587,Ni
3000,75.41,19.849,3.051,0.534,131.706822,1.415,6.535,0.408401,0.021027,0.186,-44.189863,Ni
6000,77.28,19.937,1.727,0.534,263.529437,1.582,3.753,0.611193,0.0106,0.1618,-47.938079,Ni
9000,79.15,20.046,0.679,0.534,396.471568,1.646,2.609,0.700706,0.007123,0.1543,-51.427171,Ni
12000,81.01,20.166,0.455,0.534,529.553319,1.733,1.948,0.776077,0.005384,0.1534,-55.129263,Ni
15000,82.88,20.295,0.343,0.534,657.061588,1.835,1.5,0.826695,0.00434,0.1568,-58.882356,Ni
18000,84.74,20.429,0.385,0.534,767.461366,1.925,1.21,0.849175,0.003643,0.162,-62.818858,Ni
21000,86.61,20.567,0.349,0.534,849.275636,1.999,0.993,0.824271,0.003146,0.1672,-66.67538,Ni
24000,88.47,20.709,0.301,0.534,896.914916,0.937,0.832,0.159199,0.002772,0.1713,-70.52548,Ni
27000,90.34,20.853,0.345,0.534,911.59982,1.014,0.733,0.166199,0.002481,0.1736,-74.516449,Ni
30000,92.2,20.998,0.314,0.534,899.029357,1.22,0.646,0.209253,0.002248,0.1739,-78.425799,Ni
